text,sentiment,aspect
Excellent service as always we love cinnamon & lagoon- Thanks Shehan & all members @ lagoon finest sea food in Colombo- specially ordered sashimi moriyawase not in menu got the kind of fresh ones- slices little more fatty than usual sashimi but Colombo standerd the best,positive,Service
"This is our first experience in Sri Lanka and cinnamon grand. Really outstanding. Had a very good experience with the staff and the rooms were frequently cleaned. Upul, the cleaning supervisor, was very helpful during our stay.",positive,"Room,staff"
"We had a scrumptious dinner at cinnamon grand on Christmas night. It was customer driven. The service was really great. Should especially mention chef asanka, who always serves us so well. Also the service lent by Sameera, Wasantha, Keerthi and Dilanka is appreciated.",positive,Service
"We had a good family outing, we enjoyed a lot and the staff service was incredible. All the Xmas decorations were beautiful. The food was fabulous and my family members enjoyed as well. Keep this service and keep it up always.",positive,"Food,Service,staff"
"Excellent service, Sanjeewa our bell boy was very attentive to our needs and went above and beyond to make our stay the best he could. It was very appreciated. We would recommend the service and cleanliness of the Cinnamon Grand a no the staff like Sanjeewa to everybody",positive,"Service,atmosphere"
They provided us with beautiful service at the oak room where the wedding was held and they and decorated our wedding room beautifully it was well cleaned and kept to high standards and i should than Mr. D.H.K Prasad who was very friendly and help decorate the room as well,positive,"Room,staff,service"
"We stayed in the executive suite during our stay at Cinnamon Grand. We were well cared for and looked after by the executive lounge staff Kapila and his team. The warm greeting every time we opted to dine in and paying attention to detail, meant a lot to us. This made our holiday a memorable one at Cinnamon during the busy holiday season in December.",positive,"Atmosphere,staff"
"I had no reservation and made a mistake with my order but Lolitha put it right. Right throughout my time at The Lahoon, Lolitha worked tirelessly. It's staff like him that make wheels turn and big companies like the Cinnamon Grand prosper. I hope his hard work is recognised!",positive,service
"We went on a date night to Lagoon restaurant in Dec 2022, we ordered lobster and a fish dish.. Both dishes were good, The service was very good, as expected in Cinnamon Grand. I will suggest this place to my friends and family.",positive,"food, service "
"We attended a wedding in this hotel and stayed in the same hotel as well. We enjoyed our stay here thoroughly because of the warm and friendly hospitality of the staff. The house keeping team including Mr Gayan, his supervisor Niluka made our stay comfortable in our clean and well maintained room. The front desk staff Mr Sajeewa welcomed us when we arrived past midnight with fast and efficient check in. The service staff at Plates were friendly and the breakfast spread is good. Overall we enjoyed our stay tremendously and we will come back again.",positive,"service , staff"
We had a office lunch at Cinnamon grand few weeks back and the experience wasn't five star. Our invites were shown to different seats and the hotel staff was taking breaks during the lunch and service was not done properly. I was in Taj New Delhi two weeks back and the service there was amazing. Treating all guests equally no matter what. Most of the staff in Cinnamon has attitudes. They look at most lot of the Sri Lankan guests in third degree. They should understand when it comes to hospitality the first thing is to be humble and treat everyone equally. They judge you if you mistakenly pronounce a food or beverage name wrong. They look at you sacristy if you don't know what the food is. It's there job to explain what the food is and everything in a polite way without making,Negative,"staff ,service "
Excellent meal and ambience. Amazing service and recommendations by Damith and his team. Must visit in Colombo for seafood. Definitely have the tamarind cuttlefish and Thai red curry prawns! Best ever.,positive,"service ,food"
"Came short business trip to sri lanka, stayed one night at cinnamon grand colombo. What great atmosphere and warm service by staff. Room was wonderfully tidy and clean. Thank you supervisor Hasitha and supportive Kasun, for your excellent service and warm support while stay. Keep up the good work guys…! Highly recommended.",positive,"room,atmosphere ,service "
My second visit in cinnamon grand. This was an amazing hotel wonderful staff. Specially thanks housekeeping staff Mr. Priyantha Ms. Uthpala and Supervisor Mr. Amal they did wonderful job in my stay. 😀😀😀😀😀,positive,service
"We stayed at Cinnamon Grand , colombo with the cricket team for a week. It was a great experience@ cinnamon. The front office , house keeping, restaurant, laundry staff done an excellent support throughout the stay. Specially i have to mention, Marina & Priyantha gave a valuable service in house keeping, during our stay. They wer very enthusiastic in the duty.",positive,service
Nissanka is doing wonderful job here It’s nice to be here in cinnamon grand I’ll come back again when I’m free . It’s lovely place the sheesha is brilliant they have lot of flavors the flavors are nice,positive,accommodation
"We wer spend wonderful time in cinnamon grand. Thanks lot .frendly staf . Servise wos very god. clean rooms and stay comfortable. God food . Excellent service Thanks for Mr hasitha and ms uthpala, and mr Chandana",positive,"service ,food ,room,atmosphere "
Good service and very good staff ( Mr upul and room attendant kavishka) in room cleaning was very good.this my third visit.all the supplies towels water there are providing same time and when I come every time room is full clean,positive,"service ,food ,room,atmosphere "
I stay in cinnamon grand hotel past 4 days. Hotel is outstanding staff also very helpful always treat. Specially thanks c.priyantha marenna and supervisor upul they did hard work and beautiful service. Onece again thank you so much guys keep it good works,positive,service
My 2 ne visit in cinnamon grand. It was very wonderful hotel and nice to be here. Staff was wonderful specially thanks housekeeping staff mr.c. Priyantha mareena and supervisor upul they did wonderful job in my stay . Thank you so much guys😘😘😘😘😘😘,positive,accommodation
"Enjoyed our stay! Conveniet location, with good variety of restaurants. Supermarket and shopping mall next door was very useful. Hotel service and hospitality was excellent. Gayan from housekeeping made sure our room was kept meticulously!",positive,"accommodation ,room,service "
"I stayed cinnamon grand hotel one week. Food was amazing view also. Specially housekeeping attendent c.priyantha and supervisor upul was amazing, they done room wonderful. Nice stay at cinnamon grand. Love it",positive,food
"Delicious food with a wide variety of choices among various cuisines. Staff was very friendly and helpful. Thank you Sanjeewa and Shehan, you were of great assistance to choose the best meal. Would recommend.",positive,"food ,staff "
Highly recommended for sea food lovers. Food was delicious and has a very good variety. Nice atmosphere and friendly staff. Special thanks to Lolitha for his superb service. Had a nice dining experience.,Positive,"Food,Service,Staff,Atmostphere"
"It is a great pleasure to stay at this lovely place call cinnamon grand with fascinating, so kind and helpful staff. Room cleaning staff deeesh, upul..ect done a great job and also restaurant and pool staff done thei best.. thank you so much cinnamon grand and your lovely staff. We had a great time.❤️",positive,"staff ,accommodation "
"We had a lovely lunch. The food was great and the wine was ice cold and delicious. Damith was great! Friendly, excellent service, made great suggestions of what we should choose on the menu. We will certainly come again. Many thanks Damith",positive,"food ,service "
Room number 312 house keeping was really good done by deanesh was supvised by upul it was really good my v first visit I was really enjoy the day and that room was really clean I really enjoy staying here,positive,"room ,service "
I had a great stay key to my great vacation is your staff specially housekeepers Sithari/ Rimzan and from the Buffet wasanth they truly love what they do and go extra mile to make the gust have a great time and enjoy their stay . There’s No Words to Thank you Enough. Keep up the great work 👍👍👍.you’ll Rock,positive,"Service,Atmosphere"
Very good food and more importantly extremely good service from Ms Dilini. She is very attentive and showed tremendous patience despite numerous request from us. Seafood is very fresh and good variety. Highly recommended!,positive,food
Came to Plates Cinnamon Grand Colombo for lunch with the family and as usual they did not fail to overwhelm us with their variety and tastes that always leave us uplifted and in good spirits. Today's visit was made extra cozy by Maxy and Vinod who went out of their way to make our escaped a happy one. Thanks guys.,positive,"service,attmosphere"
"I recently had the pleasure of staying at the Cinnamon Grand Colombo and it was an absolute delight. The premium suite was spacious and comfortable, with all the amenities one could need for a relaxing stay. But the real highlight of our trip was the excellent service provided by Niluka and Gayani. Both were friendly, helpful, and went above and beyond to ensure that our stay was as enjoyable as possible. From the moment we arrived at the hotel, Niluka and Gayani made us feel welcome and attended to all of our needs with a smile. Whether it was helping us plan our daily activities or assisting us with any requests, they were always eager to help. We also appreciated the hotel's great location, which was convenient to many of the city's top attractions. The food at the hotel's",positive,"accommodation ,service "
Overall one of the best five star hotels in Sri Lanka. Have been staying here over many years and the service standards have been consistent. The facilities are top class with many dining options and a selection of different cuisines for breakfast. Special mention to Maxi at Plates and Kapila at the Exec lounge for their excellent service.,positive,service
"The Hotel reasonable good furnished with Chinese furnitures. Can sustain another three years.. The room price and the interior furnishing quality are not upto luxury level but good, any way for a stay.",positive,room
We had a wonderful dinner at the lagoon. The food was fantastic. The staff was incredibly helpful. Absolutely an amazing staff that is friendly and makes customers feel welcome. A special thanks to Chamal and Shehan for their outstanding service!,positive,service
Excellent everything. The food was perfectly Sri Lankan. Hot as I hoped for but fresh and delicious. Fantastic atmosphere also. The band was traditional and loud enough to enjoy but quiet enough to not be intrusive. Very peaceful and delicious.,positive,"Food,Atmosphere"
"We absolutely enjoyed our dinner and we cannot wait to come again. The service was exceptional and so was the food! Absolutely loved the cuttlefish and prawn curry and the crab curry. Special mention to the nuga gama team for the great service, names as follows, Dilruk Krishna Tharusha Dinusha",positive,service
Great hospitality and very comfortable room.service was amazing . I had a pleasant stay.the staff frindly and helpful specialy mention our housekeeper Mr. Pradeep doing great job.he is a hard worker.he took time to chat every time we saw him. Thank you.we will be back soon,positive,"service ,staff "
"Food is really good, friendly staff and excellent service. The place was very clean. Worth for money. We had a great dining experience. Chamodi gave us personal attention. Thank you Chamodi, Vinod & Meyuru.!",positive,"food ,place ,service "
Really good experience. We were on our honeymoon really happy about the stay Thank you soo much Pradeep who made sure tht our stay was a memorable one thanks a lot cinnamon grand for being a part of our big day,positive,service
Rooms was verry comfatable and verry clean.. nice hotel and nice view. I recommend this hotel... Staff verry friendly and kind to us. Room boy pradeep doing fantastic job.. thank you pradeep... Good hotel,positive,"room,accommodation "
"Undoubtedly, Cinnamon Grand is the best hotel in Colombo and confidently can say one of the best in South Asia. If you are seeking a 5-star experience in the heart of Colombo, this is the hotel you should visit. A special thanks to the manager Dillon from the executive lounge, who made sure that we were comfortable and made both the check in and check out smooth for us. Thanks to him I have already decided to visit Sri Lanka and Cinnamon Grand in April. This was my second visit to Cinnamon Grand after three years and it is so pleasant that the staff remembers me. A special thanks to Samantha the lobby manager for helping me out. I would highly recommend the Executive room with the lounge access because of the benefits you get with the lounge. Moreover, if you are on business, it",positive,accommodation
"Hats off to Chamila who supported us in every possible way in making our outing a day to remember...... His hospitality was so remarkable, he made all of us to feel home.... Its a blessing to find people like him in hotel industry nowadays..... All our heartiest wishes to the hotel and especially to Chamila at the lobby...... Cheers 🥂",positive,service
"As always, Cinnamon Grand never fails to deliver on the consistently amazing food as well as their stellar service. Special thanks goes out to Ravindu who handled a close to a million rupee food takeaway order as well as chef Bandara for the delicacies. Great work guys! Keep up the good work!",positive,service
Food is really fine and staff also soo friendly Place also very clean. I was a marvelous experience for us. And the best part is dessert s. It was really yummy. We got tummy full experience. 😍😍😍😍😍😍😍😍😍..,positive,"Food,place,atmosphere,"
"Excellent place to chill out great service good food , chilling atmosphere nice deco special thanks to Tuan and his team, will be there for the FIFA finals with my friend cheers. Will post you soon ✌️",positive,"service ,atmosphere ,food "
@ The Tea lounge Sadeepa makes the best Irish coffee. Many a times have come over for a night-cap no one has made it like he has… Bravo to him 😍. Good lounge music too tho more Christmas carols should be played for the season. Will be back for more I,neutral,music
The ambiance was superb and tailor made for weekend dinner. Thoroughly enjoyed the delicious food which was presented on its own unique way. Special mention to Pradeep and the staff who was very helpful in recommending and accommodating all the requests.,positive,"food ,accommodation "
"Great food and excellent service by all including the chefs. The crab bisque starter was exceptional, so was the sago pudding, our dessert. The lobster and the fish roe, although were very tasty, could do with less cooking time and spices. Vegetable fried rice and Kang Kung were great accompaniments. Overall, delicious food. Special thanks to the chef, our servers Damith and Vibodha. We look forward to seeing you all soon. Dr. D. Alwis",positive,food
